Edad,Sexo,Trabajo,Vivienda,Cuenta_Ahorro,Cuenta_Corriente,Monto_Credito,Periodo_Meses,Tipo,Resultado
30,0,calificados,propia,NA,medio,2028,12,automotriz,1
47,0,no_calificados_residentes,propia,bajo,medio,958,12,automotriz,1
34,0,altamente_calificados,propia,intermedio,NA,1591,21,mobiliario,1
25,1,calificados,propia,NA,medio,2762,12,mobiliario,0
21,0,calificados,rentada,bajo,medio,2779,18,automotriz,1
29,0,calificados,propia,bajo,NA,2743,28,radio/TV,1
46,0,calificados,propia,alto,NA,1149,18,radio/TV,1
20,0,calificados,propia,bajo,NA,1313,9,mobiliario,1
55,1,no_calificados_no_residentes,familiar,bajo,bajo,1190,18,reparaciones,0
74,0,no_calificados_residentes,propia,bajo,NA,3448,5,trabajo,1
29,0,altamente_calificados,propia,bajo,medio,11328,24,vacaciones,0
36,0,altamente_calificados,familiar,bajo,bajo,1872,6,mobiliario,1
33,0,calificados,propia,bajo,NA,2058,24,reparaciones,1
25,0,calificados,propia,bajo,bajo,2136,9,mobiliario,1
25,0,calificados,propia,NA,medio,1484,12,radio/TV,0
23,0,no_calificados_residentes,rentada,muy_alto,NA,660,6,reparaciones,1
37,1,calificados,propia,alto,NA,1287,24,automotriz,1
65,0,no_calificados_no_residentes,propia,bajo,bajo,3394,42,reparaciones,1
26,1,no_calificados_no_residentes,propia,bajo,alto,609,12,trabajo,0
39,0,altamente_calificados,propia,bajo,NA,1884,12,automotriz,1
30,1,calificados,propia,bajo,bajo,1620,12,mobiliario,1
29,0,calificados,propia,bajo,medio,2629,20,vacaciones,1
41,0,no_calificados_residentes,propia,bajo,NA,719,12,educacion,0
30,1,altamente_calificados,propia,bajo,medio,5096,48,mobiliario,0
41,1,no_calificados_residentes,rentada,NA,NA,1244,9,educacion,1
34,1,calificados,propia,bajo,bajo,1842,36,automotriz,0
35,0,calificados,propia,bajo,medio,2576,7,radio/TV,1
55,1,altamente_calificados,propia,NA,alto,1424,12,mobiliario,1
61,0,calificados,propia,alto,medio,1512,15,reparaciones,0
30,0,altamente_calificados,propia,NA,NA,11054,36,automotriz,1
29,1,calificados,propia,bajo,NA,518,6,radio/TV,1
34,0,calificados,propia,bajo,NA,2759,12,mobiliario,1
35,0,altamente_calificados,propia,bajo,NA,2670,24,automotriz,1
31,0,calificados,propia,bajo,bajo,4817,24,automotriz,0
29,1,altamente_calificados,propia,bajo,NA,2679,24,automotriz,1
36,0,calificados,rentada,bajo,bajo,3905,11,automotriz,1
35,0,calificados,familiar,bajo,bajo,3386,12,automotriz,0
27,1,calificados,propia,bajo,bajo,343,6,uso_domestico,1
32,0,calificados,propia,bajo,NA,4594,18,radio/TV,1
37,0,calificados,propia,bajo,bajo,3620,36,mobiliario,1
36,0,calificados,propia,bajo,bajo,1721,15,automotriz,1
34,1,altamente_calificados,rentada,bajo,medio,3017,12,mobiliario,1
38,0,calificados,propia,NA,medio,754,12,educacion,1
34,0,calificados,propia,bajo,NA,1950,18,trabajo,1
63,0,calificados,propia,bajo,bajo,2924,24,automotriz,1
29,1,no_calificados_residentes,rentada,bajo,bajo,1659,24,radio/TV,0
32,0,calificados,propia,NA,NA,7238,48,radio/TV,1
26,1,calificados,propia,bajo,NA,2764,33,trabajo,1
35,0,no_calificados_residentes,propia,bajo,NA,4679,24,automotriz,1
22,0,calificados,rentada,intermedio,medio,3092,24,radio/TV,0
23,1,calificados,propia,bajo,bajo,448,6,educacion,0
28,0,no_calificados_residentes,propia,bajo,bajo,654,9,automotriz,0
36,0,altamente_calificados,propia,NA,NA,1238,6,educacion,1
33,0,calificados,propia,bajo,medio,1245,18,radio/TV,0
26,1,calificados,rentada,bajo,bajo,3114,18,mobiliario,0
24,0,calificados,propia,muy_alto,NA,2569,39,automotriz,1
25,0,calificados,propia,bajo,alto,5152,24,radio/TV,1
39,0,no_calificados_residentes,propia,intermedio,medio,1037,12,trabajo,1
44,0,calificados,propia,bajo,bajo,1478,15,mobiliario,1
23,1,no_calificados_residentes,propia,bajo,medio,3573,12,radio/TV,1
26,0,calificados,propia,bajo,medio,1201,24,automotriz,1
57,1,calificados,rentada,alto,bajo,3622,30,mobiliario,1
30,1,calificados,propia,alto,NA,960,15,mobiliario,1
44,0,calificados,propia,muy_alto,NA,1163,12,automotriz,1
47,0,altamente_calificados,propia,bajo,medio,1209,6,automotriz,0
52,0,calificados,propia,bajo,NA,3077,12,radio/TV,1
62,1,calificados,familiar,bajo,NA,3757,24,automotriz,1
35,0,no_calificados_residentes,rentada,intermedio,NA,1418,10,automotriz,1
26,0,calificados,rentada,bajo,NA,3518,6,automotriz,1
26,0,calificados,propia,bajo,NA,1934,12,radio/TV,1
42,1,altamente_calificados,familiar,bajo,medio,8318,27,trabajo,0
27,1,calificados,propia,intermedio,NA,1237,6,radio/TV,1
38,0,calificados,propia,NA,medio,368,6,radio/TV,1
39,0,no_calificados_residentes,rentada,bajo,bajo,2122,12,automotriz,1
20,0,calificados,propia,NA,bajo,2996,24,mobiliario,0
29,0,altamente_calificados,rentada,intermedio,medio,9034,36,mobiliario,0
40,0,calificados,propia,bajo,NA,1585,24,mobiliario,1
32,0,no_calificados_residentes,propia,bajo,medio,1301,18,radio/TV,1
28,0,calificados,propia,intermedio,alto,1323,6,automotriz,1
27,1,calificados,propia,bajo,bajo,3123,24,automotriz,0
42,0,calificados,familiar,bajo,bajo,5493,36,automotriz,1
49,0,calificados,propia,intermedio,alto,1126,9,radio/TV,1
38,0,calificados,propia,intermedio,medio,1216,24,radio/TV,0
24,1,calificados,rentada,bajo,bajo,1207,24,automotriz,0
27,0,no_calificados_residentes,propia,NA,NA,1309,10,automotriz,0
36,0,calificados,propia,muy_alto,alto,2360,15,automotriz,1
34,0,altamente_calificados,propia,intermedio,medio,6850,15,automotriz,0
28,0,calificados,propia,bajo,NA,1413,24,radio/TV,1
45,0,altamente_calificados,propia,intermedio,NA,8588,39,automotriz,1
26,0,calificados,propia,bajo,bajo,759,12,automotriz,0
32,0,altamente_calificados,familiar,bajo,NA,4686,36,automotriz,1
26,0,calificados,rentada,bajo,alto,2687,15,trabajo,1
20,0,calificados,rentada,bajo,medio,585,12,radio/TV,1
54,0,calificados,propia,NA,NA,2255,24,automotriz,1
37,1,calificados,propia,bajo,bajo,609,6,automotriz,1
40,0,no_calificados_residentes,propia,bajo,bajo,1361,6,automotriz,1
23,1,calificados,rentada,bajo,NA,7127,36,mobiliario,0
43,0,calificados,propia,intermedio,bajo,1203,6,automotriz,1
36,0,calificados,familiar,NA,NA,700,6,radio/TV,1
44,0,calificados,familiar,bajo,NA,5507,24,reparaciones,1
24,1,calificados,propia,bajo,bajo,3190,18,radio/TV,0
53,0,calificados,familiar,bajo,bajo,7119,48,mobiliario,0
23,1,calificados,propia,intermedio,NA,3488,24,automotriz,1
26,1,no_calificados_residentes,propia,bajo,medio,1113,18,radio/TV,1
30,0,calificados,propia,bajo,medio,7966,26,automotriz,1
31,1,calificados,propia,intermedio,NA,1532,15,educacion,1
42,0,no_calificados_residentes,propia,bajo,NA,1503,4,radio/TV,1
31,0,calificados,rentada,bajo,bajo,2302,36,radio/TV,0
41,0,no_calificados_residentes,propia,bajo,bajo,662,6,automotriz,1
32,0,calificados,propia,bajo,medio,2273,36,educacion,1
28,1,calificados,rentada,intermedio,medio,2631,15,automotriz,0
41,0,calificados,rentada,bajo,NA,1503,12,automotriz,1
26,0,calificados,propia,intermedio,NA,1311,24,radio/TV,1
25,0,calificados,propia,NA,NA,3105,24,radio/TV,1
33,0,calificados,rentada,bajo,alto,2319,21,educacion,0
75,1,altamente_calificados,propia,NA,bajo,1374,6,automotriz,1
37,1,calificados,propia,bajo,medio,3612,18,mobiliario,1
42,0,altamente_calificados,familiar,bajo,bajo,7763,48,automotriz,0
45,1,no_calificados_residentes,propia,bajo,alto,3049,18,mobiliario,1
23,0,calificados,rentada,bajo,medio,1534,12,radio/TV,0
60,0,calificados,familiar,bajo,NA,2032,24,automotriz,1
31,0,calificados,propia,NA,bajo,6350,30,mobiliario,0
34,0,no_calificados_residentes,propia,bajo,alto,2864,18,mobiliario,0
61,0,no_calificados_residentes,propia,bajo,NA,1255,12,automotriz,1
43,0,calificados,familiar,bajo,bajo,1333,24,automotriz,0
37,1,calificados,propia,bajo,NA,2022,24,automotriz,1
32,0,calificados,propia,bajo,NA,1552,24,radio/TV,1
24,1,no_calificados_residentes,propia,bajo,bajo,626,12,radio/TV,0
35,0,calificados,familiar,NA,NA,8858,48,automotriz,1
23,1,calificados,propia,NA,NA,996,12,reparaciones,1
45,0,no_calificados_residentes,propia,muy_alto,NA,1750,6,radio/TV,1
34,0,calificados,propia,bajo,bajo,6999,48,radio/TV,0
27,0,calificados,propia,intermedio,medio,1995,12,automotriz,1
67,1,altamente_calificados,propia,bajo,medio,1199,9,educacion,1
22,0,calificados,propia,bajo,medio,1331,12,radio/TV,0
28,1,calificados,propia,intermedio,medio,2278,18,automotriz,0
29,1,calificados,propia,NA,NA,5003,21,automotriz,0
27,0,calificados,propia,bajo,bajo,3552,24,mobiliario,0
31,0,no_calificados_residentes,propia,bajo,medio,1928,18,mobiliario,0
49,0,calificados,familiar,NA,bajo,2964,24,automotriz,1
24,0,no_calificados_residentes,rentada,bajo,bajo,1546,24,radio/TV,0
29,1,calificados,propia,bajo,alto,683,6,radio/TV,1
37,0,calificados,familiar,NA,medio,12389,36,automotriz,0
37,0,altamente_calificados,propia,NA,medio,4712,24,trabajo,1
23,1,calificados,rentada,intermedio,medio,1553,24,radio/TV,1
36,0,calificados,propia,bajo,bajo,1372,12,automotriz,0
34,0,calificados,propia,alto,NA,2578,24,radio/TV,1
41,0,calificados,propia,NA,medio,3979,48,radio/TV,1
31,1,calificados,propia,bajo,bajo,6758,48,radio/TV,0
23,1,no_calificados_residentes,rentada,bajo,bajo,3234,24,mobiliario,0
38,0,calificados,propia,bajo,NA,5954,30,radio/TV,1
26,1,altamente_calificados,rentada,NA,NA,5433,24,automotriz,1
22,1,no_calificados_residentes,propia,bajo,bajo,806,15,trabajo,1
27,0,no_calificados_residentes,propia,bajo,medio,1082,9,radio/TV,1
24,1,calificados,propia,bajo,NA,2788,15,mobiliario,1
27,1,calificados,propia,bajo,medio,2930,12,radio/TV,1
33,1,calificados,propia,NA,NA,1927,24,educacion,1
27,0,calificados,propia,bajo,medio,2820,36,automotriz,0
27,0,no_calificados_residentes,propia,bajo,NA,937,24,educacion,1
30,0,calificados,propia,bajo,medio,1056,18,automotriz,0
49,0,no_calificados_residentes,propia,bajo,medio,3124,12,automotriz,1
26,1,calificados,rentada,bajo,NA,1388,9,mobiliario,1
33,0,no_calificados_residentes,rentada,bajo,medio,2384,36,reparaciones,0
52,1,altamente_calificados,familiar,NA,NA,2133,12,automotriz,1
20,1,calificados,rentada,bajo,bajo,2039,18,mobiliario,0
36,0,calificados,rentada,bajo,bajo,2799,9,automotriz,1
21,0,no_calificados_residentes,propia,bajo,bajo,1289,12,mobiliario,1
47,0,no_calificados_residentes,propia,bajo,bajo,1217,18,uso_domestico,0
60,0,calificados,propia,bajo,bajo,2246,12,mobiliario,0
58,1,no_calificados_residentes,propia,bajo,bajo,385,12,radio/TV,1
42,1,calificados,rentada,NA,medio,1965,24,automotriz,1
36,1,no_calificados_residentes,propia,alto,NA,1572,21,trabajo,1
20,1,no_calificados_residentes,rentada,bajo,medio,2718,24,automotriz,0
40,0,altamente_calificados,propia,NA,bajo,1358,24,vacaciones,0
32,1,no_calificados_residentes,propia,intermedio,medio,931,6,automotriz,0
23,1,calificados,rentada,bajo,bajo,1442,24,automotriz,0
36,0,no_calificados_residentes,propia,bajo,medio,4241,24,trabajo,0
31,0,calificados,propia,bajo,NA,2775,18,automotriz,0
32,0,calificados,familiar,bajo,NA,3863,24,trabajo,1
45,1,calificados,propia,bajo,medio,2329,7,radio/TV,1
30,1,calificados,propia,bajo,medio,918,9,mobiliario,0
34,1,no_calificados_residentes,familiar,bajo,medio,1837,24,educacion,0
28,1,altamente_calificados,propia,bajo,NA,3349,36,mobiliario,0
23,1,calificados,propia,bajo,alto,1275,10,mobiliario,1
22,0,calificados,propia,muy_alto,bajo,2828,24,mobiliario,1
74,0,altamente_calificados,propia,bajo,NA,4526,24,trabajo,1
50,1,calificados,familiar,intermedio,medio,2671,36,radio/TV,0
33,0,calificados,propia,bajo,NA,2051,18,radio/TV,1
45,0,calificados,familiar,NA,NA,1300,15,automotriz,1
22,1,calificados,propia,intermedio,bajo,741,12,uso_domestico,0
48,1,no_calificados_residentes,familiar,intermedio,alto,1240,10,automotriz,0
29,1,calificados,propia,alto,bajo,3357,21,radio/TV,1
22,1,calificados,rentada,bajo,bajo,3632,24,automotriz,1
22,1,calificados,propia,bajo,NA,1808,18,mobiliario,0
48,0,altamente_calificados,propia,NA,medio,12204,48,trabajo,1
27,0,altamente_calificados,familiar,NA,medio,9157,60,radio/TV,1
37,0,calificados,rentada,bajo,bajo,3676,6,automotriz,1
21,1,calificados,rentada,intermedio,medio,3441,30,mobiliario,0
49,0,no_calificados_residentes,propia,bajo,NA,640,12,automotriz,1
27,0,calificados,propia,bajo,medio,3652,21,trabajo,1
32,0,calificados,propia,bajo,NA,1530,18,automotriz,0
38,0,calificados,propia,NA,NA,3914,48,trabajo,0
22,1,calificados,rentada,bajo,bajo,1858,12,mobiliario,1
65,0,calificados,familiar,bajo,bajo,2600,18,radio/TV,0
35,0,calificados,propia,NA,NA,1979,15,radio/TV,1
41,0,calificados,propia,bajo,alto,2116,6,mobiliario,1
29,0,calificados,propia,intermedio,medio,1437,9,automotriz,0
36,0,calificados,propia,muy_alto,NA,4042,42,mobiliario,1
64,0,no_calificados_residentes,propia,NA,NA,3832,9,educacion,1
28,1,calificados,propia,bajo,bajo,3660,24,radio/TV,1
44,0,calificados,propia,bajo,bajo,1553,18,mobiliario,0
23,0,calificados,propia,NA,medio,1444,15,radio/TV,1
19,1,calificados,rentada,bajo,NA,1980,9,mobiliario,0
25,1,no_calificados_residentes,propia,bajo,medio,1355,24,automotriz,0
47,0,calificados,propia,bajo,NA,1393,12,educacion,1
28,1,calificados,propia,muy_alto,NA,1376,24,radio/TV,1
21,0,calificados,propia,bajo,NA,15653,60,radio/TV,1
34,1,calificados,propia,bajo,NA,1493,12,radio/TV,1
26,0,calificados,propia,bajo,bajo,4370,42,radio/TV,0
27,1,no_calificados_no_residentes,propia,bajo,bajo,750,18,educacion,0
38,0,no_calificados_residentes,propia,bajo,medio,1308,15,reparaciones,1
40,0,altamente_calificados,propia,intermedio,NA,4623,15,educacion,0
33,0,calificados,propia,bajo,NA,1851,24,radio/TV,1
32,0,altamente_calificados,propia,bajo,bajo,1880,18,radio/TV,1
27,0,calificados,rentada,NA,NA,7980,36,trabajo,0
32,0,calificados,propia,bajo,bajo,4583,30,mobiliario,1
26,1,calificados,propia,muy_alto,NA,1386,12,automotriz,0
38,0,calificados,familiar,bajo,alto,947,24,automotriz,0
40,0,no_calificados_residentes,rentada,bajo,bajo,684,12,educacion,0
50,0,altamente_calificados,familiar,bajo,bajo,7476,48,educacion,1
37,0,no_calificados_residentes,propia,bajo,medio,1922,12,mobiliario,0
45,0,calificados,propia,bajo,bajo,2303,24,automotriz,0
42,0,altamente_calificados,propia,intermedio,medio,8086,36,automotriz,0
35,0,calificados,propia,bajo,NA,2346,24,automotriz,1
22,0,calificados,familiar,bajo,bajo,3973,14,automotriz,1
41,0,no_calificados_residentes,propia,bajo,medio,888,12,automotriz,0
37,0,calificados,propia,NA,NA,10222,48,radio/TV,1
28,1,calificados,propia,bajo,medio,4221,30,trabajo,1
41,0,calificados,propia,bajo,medio,6361,18,mobiliario,1
23,0,calificados,rentada,bajo,alto,1297,12,radio/TV,1
23,0,calificados,propia,NA,bajo,900,12,automotriz,0
50,0,calificados,propia,bajo,NA,2241,21,mobiliario,1
35,0,altamente_calificados,propia,bajo,medio,1050,6,mobiliario,1
50,1,no_calificados_residentes,propia,bajo,alto,1047,6,educacion,1
27,0,altamente_calificados,propia,bajo,NA,6314,24,vacaciones,1
34,0,calificados,propia,alto,medio,3496,30,mobiliario,1
27,1,calificados,propia,bajo,NA,3609,48,trabajo,1
43,0,calificados,rentada,bajo,bajo,4843,12,automotriz,0
47,0,calificados,propia,bajo,alto,3017,30,radio/TV,1
27,0,no_calificados_residentes,propia,intermedio,NA,4139,24,trabajo,1
31,0,calificados,propia,intermedio,NA,5742,36,trabajo,1
42,0,altamente_calificados,propia,bajo,NA,10366,60,automotriz,1
24,0,calificados,propia,muy_alto,NA,2080,6,automotriz,1
41,0,no_calificados_residentes,propia,muy_alto,NA,2580,21,trabajo,0
26,1,altamente_calificados,rentada,bajo,NA,4530,30,radio/TV,1
33,0,calificados,propia,bajo,NA,5150,24,mobiliario,1
24,0,calificados,propia,intermedio,medio,5595,72,radio/TV,0
64,0,no_calificados_residentes,rentada,bajo,bajo,2384,24,radio/TV,1
26,1,calificados,propia,bajo,NA,1453,18,radio/TV,1
56,1,calificados,propia,bajo,NA,1538,6,educacion,1
37,0,calificados,familiar,NA,NA,2279,12,radio/TV,1
33,0,calificados,propia,bajo,NA,1478,15,radio/TV,1
47,0,calificados,familiar,bajo,NA,5103,24,radio/TV,1
31,0,no_calificados_residentes,propia,intermedio,medio,9857,36,trabajo,1
34,0,calificados,familiar,NA,NA,6527,60,automotriz,1
27,0,calificados,propia,NA,alto,1347,10,radio/TV,1
30,0,calificados,familiar,intermedio,medio,2862,36,automotriz,1
35,0,calificados,propia,intermedio,NA,2753,9,radio/TV,1
31,0,calificados,propia,alto,bajo,3651,12,automotriz,1
25,0,calificados,propia,bajo,bajo,975,15,mobiliario,1
25,1,no_calificados_residentes,propia,intermedio,medio,2631,15,reparaciones,1
29,0,calificados,propia,intermedio,medio,2896,24,radio/TV,1
44,0,no_calificados_residentes,propia,NA,bajo,4716,6,automotriz,1
28,0,calificados,propia,bajo,NA,2284,24,radio/TV,1
50,0,calificados,rentada,muy_alto,NA,1236,6,automotriz,1
29,0,calificados,propia,bajo,medio,1103,12,radio/TV,1
38,1,no_calificados_no_residentes,propia,bajo,NA,926,12,automotriz,1
24,0,calificados,propia,bajo,NA,1800,18,radio/TV,1
40,0,altamente_calificados,rentada,bajo,alto,1905,15,educacion,1
29,1,no_calificados_residentes,rentada,muy_alto,NA,1123,12,mobiliario,0
46,0,calificados,familiar,bajo,bajo,6331,48,automotriz,0
47,1,calificados,familiar,intermedio,alto,1377,24,radio/TV,1
41,0,calificados,propia,intermedio,medio,2503,30,trabajo,1
32,1,calificados,propia,bajo,medio,2528,27,trabajo,1
35,1,calificados,familiar,muy_alto,NA,5324,15,automotriz,1
24,0,calificados,propia,intermedio,medio,6560,48,automotriz,0
25,1,calificados,rentada,bajo,medio,2969,12,mobiliario,0
25,1,calificados,propia,bajo,medio,1206,9,radio/TV,1
37,0,no_calificados_residentes,propia,bajo,medio,2118,9,radio/TV,1
32,0,altamente_calificados,propia,muy_alto,NA,629,18,radio/TV,1
35,1,calificados,familiar,bajo,bajo,1198,6,educacion,0
46,0,altamente_calificados,propia,NA,NA,2476,21,automotriz,1
25,0,no_calificados_residentes,propia,bajo,bajo,1138,9,radio/TV,1
27,0,altamente_calificados,propia,bajo,medio,14027,60,automotriz,0
63,0,calificados,propia,NA,NA,7596,30,automotriz,1
40,0,calificados,propia,NA,NA,3077,30,radio/TV,1
32,0,altamente_calificados,familiar,bajo,NA,1505,18,radio/TV,1
31,0,calificados,propia,NA,alto,3148,24,radio/TV,1
31,0,calificados,propia,intermedio,medio,6148,20,automotriz,1
34,0,altamente_calificados,propia,bajo,alto,1337,9,radio/TV,0
24,1,calificados,rentada,alto,medio,433,6,educacion,0
24,1,no_calificados_residentes,propia,bajo,bajo,1228,12,automotriz,0
66,1,no_calificados_residentes,propia,muy_alto,medio,790,9,radio/TV,1
21,1,calificados,rentada,bajo,NA,2570,27,automotriz,0
41,1,no_calificados_residentes,propia,alto,NA,250,6,automotriz,1
47,0,no_calificados_residentes,propia,muy_alto,NA,1316,15,radio/TV,1
25,1,calificados,rentada,bajo,bajo,1882,18,radio/TV,0
59,1,calificados,rentada,bajo,medio,6416,48,trabajo,0
36,0,calificados,propia,alto,alto,1275,24,trabajo,1
33,0,calificados,propia,bajo,medio,6403,24,radio/TV,1
21,0,no_calificados_residentes,rentada,bajo,bajo,1987,24,radio/TV,0
44,1,no_calificados_residentes,propia,bajo,medio,760,8,radio/TV,1
28,1,calificados,rentada,alto,NA,2603,24,automotriz,1
37,1,calificados,propia,bajo,NA,3380,4,automotriz,1
29,1,no_calificados_no_residentes,propia,NA,medio,3990,36,uso_domestico,1
23,1,altamente_calificados,rentada,bajo,medio,11560,24,automotriz,0
35,0,no_calificados_residentes,propia,intermedio,bajo,4380,18,automotriz,1
45,0,altamente_calificados,propia,bajo,NA,6761,6,automotriz,1
26,1,no_calificados_residentes,rentada,intermedio,medio,4280,30,trabajo,0
32,0,calificados,propia,intermedio,bajo,2325,24,automotriz,1
23,0,no_calificados_residentes,propia,bajo,medio,1048,10,radio/TV,1
41,0,calificados,propia,NA,NA,3160,21,radio/TV,1
22,0,calificados,propia,muy_alto,bajo,2483,24,mobiliario,1
30,0,altamente_calificados,propia,NA,bajo,14179,39,mobiliario,1
28,0,no_calificados_residentes,propia,bajo,bajo,1797,13,trabajo,1
23,1,calificados,rentada,bajo,bajo,2511,15,automotriz,1
37,1,no_calificados_residentes,propia,bajo,bajo,1274,12,automotriz,0
26,0,calificados,propia,NA,NA,5248,21,automotriz,1
33,0,calificados,propia,bajo,NA,3029,15,automotriz,1
49,1,calificados,propia,bajo,bajo,428,6,mobiliario,1
23,1,no_calificados_residentes,propia,bajo,bajo,976,18,automotriz,0
23,1,no_calificados_residentes,rentada,intermedio,medio,841,12,trabajo,1
25,1,calificados,propia,bajo,NA,5771,30,radio/TV,1
55,0,calificados,familiar,alto,NA,1555,12,reparaciones,0
32,1,calificados,rentada,NA,bajo,1285,24,automotriz,0
74,0,no_calificados_no_residentes,propia,bajo,alto,1299,6,automotriz,1
39,0,calificados,familiar,NA,alto,1271,15,radio/TV,0
31,0,calificados,propia,bajo,NA,1393,24,automotriz,1
35,0,calificados,propia,bajo,bajo,691,12,automotriz,0
59,1,calificados,propia,NA,NA,5045,15,automotriz,1
24,1,calificados,rentada,bajo,bajo,2124,18,mobiliario,0
24,0,no_calificados_residentes,propia,bajo,bajo,2214,12,radio/TV,1
30,0,altamente_calificados,familiar,NA,NA,12680,21,automotriz,0
27,0,calificados,propia,intermedio,NA,2463,24,automotriz,1
40,0,no_calificados_residentes,propia,bajo,medio,1155,12,radio/TV,1
31,0,no_calificados_residentes,propia,bajo,bajo,3108,30,mobiliario,0
31,1,calificados,rentada,NA,NA,2901,10,automotriz,1
28,0,calificados,rentada,bajo,medio,3617,12,mobiliario,1
63,0,no_calificados_residentes,propia,bajo,NA,1655,12,radio/TV,1
26,1,calificados,rentada,NA,bajo,2812,24,automotriz,1
25,1,altamente_calificados,propia,bajo,bajo,8065,36,educacion,0
36,0,altamente_calificados,propia,bajo,NA,3275,21,automotriz,1
52,0,calificados,propia,intermedio,NA,2223,24,radio/TV,1
66,0,no_calificados_no_residentes,familiar,muy_alto,alto,1480,12,automotriz,1
25,1,calificados,rentada,NA,bajo,1371,24,automotriz,0
37,0,calificados,propia,bajo,NA,3535,36,automotriz,1
25,1,calificados,propia,bajo,bajo,3509,18,radio/TV,1
38,0,altamente_calificados,propia,alto,NA,5711,36,automotriz,1
67,1,calificados,propia,bajo,medio,3872,18,reparaciones,1
25,0,calificados,propia,bajo,medio,4933,39,radio/TV,0
60,0,calificados,propia,alto,NA,1940,24,automotriz,1
31,0,no_calificados_residentes,propia,bajo,medio,1410,12,educacion,1
23,1,no_calificados_residentes,propia,intermedio,medio,836,12,automotriz,0
60,0,altamente_calificados,propia,NA,medio,6468,20,automotriz,1
35,0,no_calificados_residentes,propia,alto,medio,1941,18,trabajo,1
40,0,calificados,propia,muy_alto,NA,2675,22,radio/TV,1
38,0,calificados,propia,NA,NA,2751,48,automotriz,1
50,0,calificados,familiar,bajo,medio,6224,48,educacion,0
27,0,calificados,propia,bajo,bajo,5998,40,educacion,0
39,1,calificados,propia,bajo,medio,1188,21,trabajo,0
41,0,altamente_calificados,propia,NA,NA,6313,24,automotriz,1
27,0,calificados,propia,NA,NA,1221,6,mobiliario,1
51,0,calificados,familiar,bajo,alto,2892,24,mobiliario,1
32,0,calificados,rentada,muy_alto,NA,3062,24,mobiliario,1
22,1,calificados,rentada,intermedio,NA,2301,9,mobiliario,1
51,0,calificados,familiar,NA,bajo,7511,18,automotriz,0
22,1,no_calificados_residentes,rentada,bajo,NA,1258,12,mobiliario,1
54,0,calificados,propia,NA,NA,717,24,automotriz,1
35,0,no_calificados_no_residentes,propia,NA,medio,1549,9,automotriz,1
54,0,calificados,familiar,bajo,NA,1597,24,educacion,1
48,1,no_calificados_residentes,rentada,bajo,medio,1795,18,radio/TV,1
24,1,calificados,propia,bajo,bajo,4272,20,mobiliario,1
35,0,calificados,propia,NA,NA,976,12,radio/TV,1
24,1,no_calificados_no_residentes,rentada,NA,medio,7472,12,automotriz,1
24,0,calificados,propia,bajo,bajo,9271,36,automotriz,0
26,0,no_calificados_residentes,propia,bajo,medio,590,6,radio/TV,1
65,0,calificados,propia,NA,NA,930,12,radio/TV,1
55,0,altamente_calificados,familiar,bajo,medio,9283,42,automotriz,1
26,1,no_calificados_no_residentes,rentada,bajo,medio,1778,15,automotriz,0
26,0,calificados,propia,bajo,medio,907,8,trabajo,1
28,0,no_calificados_residentes,propia,bajo,medio,484,6,radio/TV,1
24,0,calificados,propia,bajo,bajo,9629,36,automotriz,0
54,0,calificados,propia,bajo,bajo,3051,48,uso_domestico,0
46,0,calificados,familiar,bajo,bajo,3931,48,automotriz,0
54,1,calificados,rentada,bajo,medio,7432,36,automotriz,1
62,0,calificados,propia,muy_alto,NA,1338,6,uso_domestico,1
24,1,calificados,rentada,bajo,NA,1554,6,radio/TV,1
43,0,altamente_calificados,propia,bajo,bajo,15857,36,vacaciones,1
26,0,calificados,propia,bajo,bajo,1345,18,radio/TV,0
27,0,calificados,propia,bajo,NA,1101,12,automotriz,1
24,0,calificados,propia,bajo,alto,3016,12,radio/TV,1
41,0,calificados,propia,bajo,bajo,2712,36,mobiliario,0
47,0,no_calificados_residentes,propia,bajo,bajo,731,8,automotriz,1
35,0,altamente_calificados,propia,bajo,NA,3780,18,mobiliario,1
30,0,calificados,propia,bajo,bajo,1602,21,automotriz,1
33,1,calificados,rentada,bajo,bajo,3966,18,automotriz,0
36,0,calificados,propia,bajo,NA,4165,18,trabajo,0
47,0,calificados,familiar,NA,bajo,8335,36,automotriz,0
38,0,calificados,familiar,NA,medio,6681,48,trabajo,1
44,0,calificados,propia,muy_alto,NA,2375,24,trabajo,1
23,1,calificados,rentada,bajo,bajo,1216,18,automotriz,0
29,0,calificados,rentada,bajo,bajo,11816,45,trabajo,0
42,1,calificados,propia,NA,medio,5084,24,radio/TV,1
25,1,no_calificados_residentes,propia,bajo,alto,2327,15,radio/TV,0
48,0,calificados,propia,bajo,bajo,1082,12,automotriz,0
21,1,calificados,propia,NA,NA,886,12,radio/TV,1
23,1,no_calificados_residentes,rentada,bajo,NA,601,4,mobiliario,1
63,0,calificados,propia,bajo,bajo,2957,24,automotriz,1
46,0,calificados,propia,bajo,NA,2611,24,radio/TV,1
29,0,calificados,propia,bajo,bajo,5179,36,mobiliario,0
28,0,no_calificados_residentes,propia,bajo,NA,2993,21,automotriz,1
23,1,calificados,propia,bajo,NA,1943,18,reparaciones,0
50,0,calificados,propia,bajo,NA,1559,24,trabajo,1
47,0,calificados,propia,bajo,NA,3422,18,mobiliario,1
